Previous Wall_Arr[0][0] Position ; X = 0 ; Y = 0 ;       NEW ;  Wall_Arr[0][0] Position ; X = -45 ; Y = -1215
Previous Wall_Arr[0][1] Position ; X = 0 ; Y = 16 ;       NEW ;  Wall_Arr[0][1] Position ; X = -45 ; Y = -1125
Previous Wall_Arr[0][2] Position ; X = 0 ; Y = 32 ;       NEW ;  Wall_Arr[0][2] Position ; X = -45 ; Y = -1035
Previous Wall_Arr[0][3] Position ; X = 0 ; Y = 48 ;       NEW ;  Wall_Arr[0][3] Position ; X = -45 ; Y = -945
Previous Wall_Arr[0][4] Position ; X = 0 ; Y = 64 ;       NEW ;  Wall_Arr[0][4] Position ; X = -45 ; Y = -855
Previous Wall_Arr[0][5] Position ; X = 0 ; Y = 80 ;       NEW ;  Wall_Arr[0][5] Position ; X = -45 ; Y = -765
Previous Wall_Arr[0][6] Position ; X = 0 ; Y = 96 ;       NEW ;  Wall_Arr[0][6] Position ; X = -45 ; Y = -675
Previous Wall_Arr[0][7] Position ; X = 0 ; Y = 112 ;       NEW ;  Wall_Arr[0][7] Position ; X = -45 ; Y = -585
Previous Wall_Arr[0][8] Position ; X = 0 ; Y = 128 ;       NEW ;  Wall_Arr[0][8] Position ; X = -45 ; Y = -495
Previous Wall_Arr[0][9] Position ; X = 0 ; Y = 144 ;       NEW ;  Wall_Arr[0][9] Position ; X = -45 ; Y = -405
Previous Wall_Arr[0][10] Position ; X = 0 ; Y = 160 ;       NEW ;  Wall_Arr[0][10] Position ; X = -45 ; Y = -315
Previous Wall_Arr[0][11] Position ; X = 0 ; Y = 176 ;       NEW ;  Wall_Arr[0][11] Position ; X = -45 ; Y = -225
Previous Wall_Arr[0][12] Position ; X = 0 ; Y = 192 ;       NEW ;  Wall_Arr[0][12] Position ; X = -45 ; Y = -135
Previous Wall_Arr[0][13] Position ; X = 0 ; Y = 208 ;       NEW ;  Wall_Arr[0][13] Position ; X = -45 ; Y = -45
Previous Wall_Arr[0][14] Position ; X = 0 ; Y = 224 ;       NEW ;  Wall_Arr[0][14] Position ; X = -45 ; Y = 45
Previous Wall_Arr[0][15] Position ; X = 0 ; Y = 240 ;       NEW ;  Wall_Arr[0][15] Position ; X = -45 ; Y = 135
Previous Wall_Arr[0][16] Position ; X = 0 ; Y = 256 ;       NEW ;  Wall_Arr[0][16] Position ; X = -45 ; Y = 225
Previous Wall_Arr[0][17] Position ; X = 0 ; Y = 272 ;       NEW ;  Wall_Arr[0][17] Position ; X = -45 ; Y = 315
Previous Wall_Arr[0][18] Position ; X = 0 ; Y = 288 ;       NEW ;  Wall_Arr[0][18] Position ; X = -45 ; Y = 405
Previous Wall_Arr[0][19] Position ; X = 0 ; Y = 304 ;       NEW ;  Wall_Arr[0][19] Position ; X = -45 ; Y = 495
Previous Wall_Arr[0][20] Position ; X = 0 ; Y = 320 ;       NEW ;  Wall_Arr[0][20] Position ; X = -45 ; Y = 585
Previous Wall_Arr[0][21] Position ; X = 0 ; Y = 336 ;       NEW ;  Wall_Arr[0][21] Position ; X = -45 ; Y = 675
Previous Wall_Arr[1][0] Position ; X = 16 ; Y = 0 ;       NEW ;  Wall_Arr[1][0] Position ; X = 45 ; Y = -1215
Previous Wall_Arr[1][1] Position ; X = 16 ; Y = 16 ;       NEW ;  Wall_Arr[1][1] Position ; X = 45 ; Y = -1125
Previous Wall_Arr[1][2] Position ; X = 16 ; Y = 32 ;       NEW ;  Wall_Arr[1][2] Position ; X = 45 ; Y = -1035
Previous Wall_Arr[1][3] Position ; X = 16 ; Y = 48 ;       NEW ;  Wall_Arr[1][3] Position ; X = 45 ; Y = -945
Previous Wall_Arr[1][4] Position ; X = 16 ; Y = 64 ;       NEW ;  Wall_Arr[1][4] Position ; X = 45 ; Y = -855
Previous Wall_Arr[1][5] Position ; X = 16 ; Y = 80 ;       NEW ;  Wall_Arr[1][5] Position ; X = 45 ; Y = -765
Previous Wall_Arr[1][6] Position ; X = 16 ; Y = 96 ;       NEW ;  Wall_Arr[1][6] Position ; X = 45 ; Y = -675
Previous Wall_Arr[1][7] Position ; X = 16 ; Y = 112 ;       NEW ;  Wall_Arr[1][7] Position ; X = 45 ; Y = -585
Previous Wall_Arr[1][8] Position ; X = 16 ; Y = 128 ;       NEW ;  Wall_Arr[1][8] Position ; X = 45 ; Y = -495
Previous Wall_Arr[1][9] Position ; X = 16 ; Y = 144 ;       NEW ;  Wall_Arr[1][9] Position ; X = 45 ; Y = -405
Previous Wall_Arr[1][10] Position ; X = 16 ; Y = 160 ;       NEW ;  Wall_Arr[1][10] Position ; X = 45 ; Y = -315
Previous Wall_Arr[1][11] Position ; X = 16 ; Y = 176 ;       NEW ;  Wall_Arr[1][11] Position ; X = 45 ; Y = -225
Previous Wall_Arr[1][12] Position ; X = 16 ; Y = 192 ;       NEW ;  Wall_Arr[1][12] Position ; X = 45 ; Y = -135
Previous Wall_Arr[1][13] Position ; X = 16 ; Y = 208 ;       NEW ;  Wall_Arr[1][13] Position ; X = 45 ; Y = -45
Previous Wall_Arr[1][14] Position ; X = 16 ; Y = 224 ;       NEW ;  Wall_Arr[1][14] Position ; X = 45 ; Y = 45
Previous Wall_Arr[1][15] Position ; X = 16 ; Y = 240 ;       NEW ;  Wall_Arr[1][15] Position ; X = 45 ; Y = 135
Previous Wall_Arr[1][16] Position ; X = 16 ; Y = 256 ;       NEW ;  Wall_Arr[1][16] Position ; X = 45 ; Y = 225
Previous Wall_Arr[1][17] Position ; X = 16 ; Y = 272 ;       NEW ;  Wall_Arr[1][17] Position ; X = 45 ; Y = 315
Previous Wall_Arr[1][18] Position ; X = 16 ; Y = 288 ;       NEW ;  Wall_Arr[1][18] Position ; X = 45 ; Y = 405
Previous Wall_Arr[1][19] Position ; X = 16 ; Y = 304 ;       NEW ;  Wall_Arr[1][19] Position ; X = 45 ; Y = 495
Previous Wall_Arr[1][20] Position ; X = 16 ; Y = 320 ;       NEW ;  Wall_Arr[1][20] Position ; X = 45 ; Y = 585
Previous Wall_Arr[1][21] Position ; X = 16 ; Y = 336 ;       NEW ;  Wall_Arr[1][21] Position ; X = 45 ; Y = 675
Previous Wall_Arr[2][0] Position ; X = 32 ; Y = 0 ;       NEW ;  Wall_Arr[2][0] Position ; X = 135 ; Y = -1215
Previous Wall_Arr[2][1] Position ; X = 32 ; Y = 16 ;       NEW ;  Wall_Arr[2][1] Position ; X = 135 ; Y = -1125
Previous Wall_Arr[2][2] Position ; X = 32 ; Y = 32 ;       NEW ;  Wall_Arr[2][2] Position ; X = 135 ; Y = -1035
Previous Wall_Arr[2][3] Position ; X = 32 ; Y = 48 ;       NEW ;  Wall_Arr[2][3] Position ; X = 135 ; Y = -945
Previous Wall_Arr[2][4] Position ; X = 32 ; Y = 64 ;       NEW ;  Wall_Arr[2][4] Position ; X = 135 ; Y = -855
Previous Wall_Arr[2][5] Position ; X = 32 ; Y = 80 ;       NEW ;  Wall_Arr[2][5] Position ; X = 135 ; Y = -765
Previous Wall_Arr[2][6] Position ; X = 32 ; Y = 96 ;       NEW ;  Wall_Arr[2][6] Position ; X = 135 ; Y = -675
Previous Wall_Arr[2][7] Position ; X = 32 ; Y = 112 ;       NEW ;  Wall_Arr[2][7] Position ; X = 135 ; Y = -585
Previous Wall_Arr[2][8] Position ; X = 32 ; Y = 128 ;       NEW ;  Wall_Arr[2][8] Position ; X = 135 ; Y = -495
